battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,battery_power_scaled,clock_speed_scaled,fc_scaled,int_memory_scaled,m_dep_scaled,mobile_wt_scaled,n_cores_scaled,pc_scaled,px_height_scaled,px_width_scaled,ram_scaled,sc_h_scaled,sc_w_scaled,talk_time_scaled,CatRam,SqPx,Perfomance
842,0,2.2,0,1,0,7,0.6,188,2,2,20,756,2549,9,7,19,0,0,1,1,-0.9025972554689959,0.8307794171595057,-0.7624946625030504,-1.3806435313202894,0.34073950535281977,1.3492488095807782,-1.1019712820905798,-1.3057501043508444,-1.4089485628999447,-1.1467840342018796,0.3917034064711061,-0.7849832923777195,0.2831028012669145,1.4624933239839086,2,15120,6.6892578125
594,0,0.8,0,2,1,28,0.1,132,5,3,1011,1263,3087,16,4,4,1,1,1,2,-1.467121027641823,-0.8853270882234643,-0.532098934295451,-0.22305607767502658,-1.3933037788854497,-0.2330831486300147,0.20963905168118738,-1.14080977663647,0.824694304946644,0.0265788683518306,0.8878024694872887,0.8768594557378216,-0.4057118003557487,-1.2834573406497911,3,1276893,8.8146484375
1021,1,0.5,1,0,1,53,0.7,136,3,6,905,1988,2631,17,3,7,1,1,0,2,-0.49513856507006043,-1.253064196519815,-0.9928903907106499,1.1550242242836197,0.6875481622004737,-0.12005943732924378,-0.6647678374999907,-0.6459887934933469,0.5857779134312672,1.7044646757511204,0.4673170183062863,1.1142655626114704,-0.6353166675633032,-0.7342672077230512,2,1799140,6.0693359375
1524,0,2.6,1,5,0,57,0.5,124,2,12,629,635,947,11,4,16,0,1,1,0,0.6498431180062779,1.3210955615546396,0.15908825032734747,1.375517072597003,-0.006069151494834045,-0.45913057123155654,-1.1019712820905798,0.34365317279289903,-0.03630627579744978,-1.426817389643692,-1.0855283759674152,-0.310171078630422,-0.4057118003557487,0.9133031910571687,0,399415,5.5248046875
563,1,0.5,1,2,1,41,0.9,145,5,6,1263,1716,2603,11,2,9,1,1,0,2,-1.5376864991634263,-1.253064196519815,-0.532098934295451,0.49354567934346943,1.3811654758957816,0.13424391309749079,0.20963905168118738,-0.6459887934933469,1.3926842168511246,1.0749682073199385,0.44149773621622473,-0.310171078630422,-0.8649215347708576,-0.36814045243855786,2,2167308,8.0419921875
511,1,0.6,1,12,0,50,0.1,175,3,16,140,622,1484,9,7,8,1,0,0,0,-1.6560543868770834,-1.1304851604210315,1.7718583477805439,0.9896545880485821,-1.3933037788854497,0.9819217478532727,-0.6647678374999907,1.0034144836503964,-1.1384771762787635,-1.4569036179143,-0.5903514301687349,-0.7849832923777195,0.2831028012669145,-0.5512038300808045,1,87080,5.04921875
615,1,2.5,0,0,0,10,0.8,131,6,9,1216,1786,2769,16,8,11,1,0,0,2,-1.419318611449769,1.198516525455856,-0.9928903907106499,-1.2152738950852517,1.0343568190481278,-0.26133907645520743,0.6468424962717764,-0.15116781035022395,1.2867495904244954,1.2369709749309044,0.5945691943215896,0.8768594557378216,0.5127076684744689,-0.002013697154064573,2,2171776,11.2041015625
1402,1,0.6,1,3,0,46,0.3,87,7,12,1081,1767,347,17,0,12,1,0,1,0,0.3721338429857744,-1.1304851604210315,-0.3017032060878515,0.7691617397351987,-0.6996864651901419,-1.5045999007636874,1.0840459408623655,0.34365317279289903,0.9824692804756664,1.192998795150785,-1.6387987064687342,1.1142655626114704,-1.3241312691859664,0.18104968048818207,0,1910127,7.9388671875
1821,1,1.2,0,13,1,44,0.6,141,2,14,1208,1212,1411,8,2,15,1,1,0,1,1.3259058612938972,-0.3950109438283302,2.0022540759881435,0.658915315578507,0.34073950535281977,0.021220201796719875,-1.1019712820905798,0.6735338282216478,1.2687181646497498,-0.09145171947901598,-0.6576659870463955,-1.0223893992513682,-0.8649215347708576,0.7302398134149221,1,1464096,4.5779296875
965,1,0.5,0,15,0,53,1.0,131,8,19,297,653,3227,12,6,8,1,0,0,2,-0.6226116749155375,-1.253064196519815,2.4630455324033425,1.1550242242836197,1.7279741327434355,-0.26133907645520743,1.5212493854529545,1.4982354667935194,-0.7846104454493846,-1.385159535115158,1.0168988799375964,-0.07276497175677328,0.053497934059360104,-0.5512038300808045,3,193941,11.6513671875
1859,0,0.5,1,3,0,22,0.7,164,1,7,1004,1654,1067,17,1,10,1,0,0,1,1.4124054715461853,-1.253064196519815,-0.3017032060878515,-0.5537953501451016,0.6875481622004737,0.6711065417761527,-1.5391747266811688,-0.4810484657789726,0.8089168073937417,0.9314800417216544,-0.9748743098671516,1.1142655626114704,-1.094526401978412,-0.18507707479631122,0,1660616,2.5419921875
1270,1,2.3,0,0,0,58,0.5,104,5,1,1512,1716,3299,13,4,16,0,0,1,3,0.07166151263572139,0.9533584532582887,-0.9928903907106499,1.430640284675349,-0.006069151494834045,-1.024249127735411,0.20963905168118738,-1.4706904320652185,1.9539123440900759,1.0749682073199385,1.0832913195977547,0.16464113511687545,-0.4057118003557487,0.9133031910571687,3,2594592,10.5216796875
1821,0,1.7,0,4,1,10,0.8,139,8,10,381,1018,3220,13,8,18,1,0,1,3,1.3259058612938972,0.21788423666558757,-0.07130747788025202,-1.2152738950852517,1.0343568190481278,-0.03529165385366558,1.5212493854529545,0.013772517364150388,-0.5952804748145578,-0.54043081828655,1.010444059415081,0.16464113511687545,0.5127076684744689,1.279429946341662,3,387858,12.84453125
919,0,0.5,1,11,0,13,0.3,159,1,15,275,570,1028,8,4,17,1,0,0,0,-0.7273217294314651,-1.253064196519815,1.5414626195729444,-1.0499042588502143,-0.6996864651901419,0.5298269026501891,-1.5391747266811688,0.838474155936022,-0.8341968663299346,-1.577248530996732,-1.0108368813497373,-1.0223893992513682,-0.4057118003557487,1.0963665686994153,0,156750,2.50390625
1954,0,0.5,1,0,0,24,0.8,187,4,0,512,1149,700,16,3,5,1,1,1,0,1.6286544971769052,-1.253064196519815,-0.9928903907106499,-0.44354892598840995,1.0343568190481278,1.3209928817555854,-0.22756439290940167,-1.635630759779593,-0.3000158777531015,-0.2372542103288853,-1.3132913286904584,0.8768594557378216,-0.6353166675633032,-1.1003939630075446,0,588288,5.18359375
1963,1,1.0,0,16,1,34,0.1,157,2,17,1136,1813,714,18,2,2,1,0,1,1,1.6491412469734998,-0.6401690160258973,2.6934412606109417,0.10768319479504852,-1.3933037788854497,0.47331504699980353,-1.1019712820905798,1.1683548113647708,1.106435332677041,1.2994577567237056,-1.3003816876454275,1.351671669485119,-0.8649215347708576,-1.6495840959342845,0,2059568,3.697265625
1445,1,0.5,0,0,0,53,0.7,174,7,14,386,836,1099,17,1,20,1,0,0,0,0.47001498090283717,-1.253064196519815,-0.9928903907106499,1.1550242242836197,0.6875481622004737,0.95366582002808,1.0840459408623655,0.6735338282216478,-0.5840108337053419,-0.9616380140750614,-0.9453665589070812,1.1142655626114704,-1.094526401978412,1.6455567016261552,0,322696,8.5732421875
1977,0,1.3,1,2,0,31,0.4,173,8,6,1145,1356,2641,8,2,7,0,0,0,3,1.681009524434869,-0.2724319077295465,-0.532098934295451,-0.05768644143998903,-0.3528778083424879,0.9254098922028873,1.5212493854529545,-0.6459887934933469,1.1267206866736297,0.24181111674925673,0.4765381904813083,-1.0223893992513682,-0.8649215347708576,-0.7342672077230512,2,1552620,11.8791015625
509,1,0.6,1,2,1,9,0.1,93,5,15,1137,1224,513,19,10,12,1,0,0,0,-1.6606069979429934,-1.1304851604210315,-0.532098934295451,-1.2703971071635978,-1.3933037788854497,-1.3350643338125312,0.20963905168118738,0.838474155936022,1.1086892608988843,-0.06367981645999325,-1.4857272483633694,1.5890777763587678,0.9719174028895778,0.18104968048818207,0,1391688,6.1009765625
1881,0,2.2,0,4,0,51,0.3,158,5,7,477,1553,1229,12,0,14,1,0,0,1,1.462484193271194,0.8307794171595057,-0.07130747788025202,1.044777800126928,-0.6996864651901419,0.5015709748249962,0.20963905168118738,-0.4810484657789726,-0.3789033655176127,0.6977331913115464,-0.8254913206317955,-0.07276497175677328,-1.3241312691859664,0.5471764357726754,1,740781,8.4001953125
769,1,2.9,1,0,0,9,0.1,182,5,1,248,874,3946,5,2,7,0,0,0,3,-1.0687675593747072,1.6888326698509901,-0.9928903907106499,-1.2703971071635978,-1.3933037788854497,1.1797132426296217,0.20963905168118738,-1.4706904320652185,-0.8950529283197004,-0.8736936545148227,1.6799011593216768,-1.7346077198723144,-0.8649215347708576,-0.7342672077230512,3,216752,11.753515625
683,0,0.7,0,5,0,19,0.9,173,4,17,954,1985,2622,16,3,5,0,0,1,2,-1.2645298352088326,-1.007906124322248,0.15908825032734747,-0.7191649863801393,1.3811654758957816,0.9254098922028873,-0.22756439290940167,1.1683548113647708,0.6962203963015828,1.6975216999963647,0.45901796334876654,0.8768594557378216,-0.6353166675633032,-1.1003939630075446,2,1893690,7.260546875
1520,1,2.2,0,5,1,33,0.5,177,8,18,151,1005,3826,14,9,13,1,1,1,3,0.6407378958744582,0.8307794171595057,0.15908825032734747,0.05255998271670267,-0.006069151494834045,1.038433603503658,1.5212493854529545,1.333295139079145,-1.1136839658384885,-0.570517046557158,1.569247093221413,0.40204724199052416,0.7423125356820234,0.3641130581304287,3,151755,13.936328125
